entities,entity counts,entity label
covid-19,1744,Disease
hydroxychloroquine,1367,Medication
hcq,970,Medication
oxygen,802,Chemical element
tocilizumab,740,Drug
remdesivir,647,Medication
chloroquine,624,Medication
azithromycin,447,Medication
corticosteroids,401,Drug class
nucleic acid,368,Topic
lopinavir/ritonavir,297,not determined
corticosteroid,245,Drug class
vitamin d,228,Topic
favipiravir,213,Medication
lopinavir,204,Medication
dexamethasone,178,Medication
ritonavir,177,Medication
tcz,169,Town in Poland
lactate,158,Topic
glucose,136,Sugar substitute
methylprednisolone,121,Drug
ivermectin,117,Medication
procalcitonin,112,Topic
anakinra,112,Drug
ribavirin,112,Medication
steroids,111,Journal
lpv/r,111,not determined
zinc,106,Chemical element
angiotensin ii,106,Topic
pao2,101,"Sichuan restaurant in Osaka, Japan"
arbidol,92,Topic
alcohol,88,Chemical compound
colchicine,85,Medication
vitamin c,83,Food
creatinine,79,Topic
melatonin,78,Hormone
steroid,72,Topic
metformin,68,Medication
oseltamivir,63,Medication
no,63,American football team
lmwh,62,Drug class
statins,60,Topic
aspartate,60,Amino acid
creatine,60,Chemical compound
ozone,58,Chemical compound
alanine,56,Amino acid
iron,53,Chemical element
umifenovir,53,Medication
retinal,52,Chemical compound
statin,52,Class of drugs
telemedicine,51,Topic
renin-angiotensin-aldosterone,49,Topic
buprenorphine,49,Topic
pct,47,National park in the United States of America
quercetin,46,Topic
nitric oxide,46,Medicinal
sofosbuvir,46,Medication
spo2,46,Topic
bilirubin,41,Chemical compound
opioid,41,Medication
urea,41,Chemical compound
doxycycline,40,Topic
nitazoxanide,40,Drug
ibuprofen,40,Medication
serine,39,Amino acid
calcium,38,Chemical element
famotidine,38,Medication
low molecular weight heparin,37,Drug class
darunavir,37,Medication
clozapine,37,Medication
ruxolitinib,35,Medication
his,34,Field of study
curcumin,34,Chemical compound
pentoxifylline,34,Drug
methadone,34,Topic
cholesterol,34,Chemical compound
daclatasvir,33,Medication
baricitinib,32,Drug
hg,31,Element
androgen,31,Topic
azm,31,Medication
ciclesonide,31,Medication
n,31,Topic
rdv,30,Radio station
prednisone,30,Medication
rituximab,29,Medication
glucocorticoid,29,Medicinal
polyphenols,29,Topic
ang ii,29,Topic
imatinib,29,Medication
steroidal,29,Drug class
nitrogen,29,Chemical element
o2,29,Telecommunications company
fio2,28,Topic
aspirin,28,Medication
cbd,28,Drug
tacrolimus,27,Drug
quarantine,26,Topic
chloroquine phosphate,26,Chemical compound
nac,25,Broadcast genre
glutathione,24,Topic
methotrexate,23,Medication
bradykinin,23,Protein
estrogen,23,Topic
adenosine,22,Medication
thiamine,22,Medication
macrolide,21,Class of drugs
prednisolone,21,Medication
cpz,21,Medication
kaletra,21,Medication
vitd,20,Topic
25(oh)d,20,Hormone
nucleic acids,20,Topic
nicotine,20,Pharmaceutical drug
lithium,20,Medication
fpv,19,Sport
lpv,19,Topic
leflunomide,19,Drug
glycyrrhizin,18,Topic
cyclosporine,18,Medication
cinahl,18,Topic
na+,18,Chemical element
nucleoside,18,Topic
amino acid,18,Topic
telephone,18,Patent
zn,17,Chemical element
sodium,17,Chemical element
atazanavir,17,Medication
lopinavir-ritonavir,17,Medication
copper,16,Chemical element
nelfinavir,16,Drug
calcifediol,16,Hormone
pge2,16,Medication
flavonoids,16,Class of chemicals
thalidomide,15,Medication
amantadine,15,Medication
ceftriaxone,15,Topic
magnesium,15,Chemical element
retinoic acid,15,Medication
fingolimod,15,Drug
ethanol,15,Chemical compound
artesunate,15,Medication
cordycepin,15,Topic
nafamostat,15,Drug
s1p,15,Topic
ala,14,US State
rapamycin,14,Drug
vitamin k,14,Topic
matrine,14,Medication
dornase alfa,14,Topic
saquinavir,14,Drug
danoprevir,14,Topic
curb-65,13,Topic
serotonin,13,Topic
ptx,13,Disease
vte,13,Engine type
alemtuzumab,13,Medication
mycophenolate mofetil,13,Drug
emetine,13,Drug
h,12,Topic
estradiol,12,Hormone
amino acids,12,Topic
macrolides,12,Class of drugs
tyrosine,12,Amino acid
nh,12,Radio station
carbon dioxide,12,Topic
methylene blue,12,Medication
aldosterone,12,Hormone
indinavir,12,Drug
potassium,12,Chemical element
hydrogen,12,Chemical element
arb,12,Topic
soc,12,Sport
moxifloxacin,12,Medication
pirfenidone,12,Medication
dipyridamole,12,Medication
apixaban,12,Medication
paracetamol,11,Medication
tnt,11,Company
liquorice,11,Plants
covid‐19,11,Disease
warfarin,11,Medication
asa,11,Medication
ocrelizumab,11,Pharmaceutical drug
cys,11,Medical condition
cysteine,11,Amino acid
hesperidin,11,Topic
peep,11,Rapper
ascorbic acid,11,Food
arginine,11,Amino acid
tcb,11,Bank
camostat,11,Pharmaceutical drug
sitagliptin,11,Medication
testosterone,11,Hormone
raas,11,Indian film composer
l-glutamine,10,Amino acid
oxytocin,10,Hormone
atorvastatin,10,Medication
acetazolamide,10,Medication
naringenin,10,Topic
luteolin,10,Chemical compound
argatroban,10,Drug
acetaminophen,10,Medication
glucose-6-phosphate,10,Disorder
n-acetylcysteine,10,Medication
azt,10,Medication
egcg,10,Topic
teicoplanin,10,Topic
amb,10,Banking company
cannabidiol,10,Drug
niacin,10,Chemical compound
thymoquinone,10,Chemical compound
omega-3,10,Topic
glr,10,Company
ank,10,Topic
clarithromycin,10,Pill
rox,10,Topic
coronavirus-19,10,Disease
androgens,9,Topic
sars-cov-2,9,Virus
naproxen,9,Drug
il6,9,Topic
gamma-glutamyl,9,Topic
cholecalciferol,9,Topic
sodium chloride,9,Chemical compound
amiodarone,9,Medication
alteplase,9,Medication
histamine,9,Chemical compound
halo,9,Franchise
glycyrrhizic acid,9,Drug
bromhexine,9,Drug
vit d,9,Unit of length
gam,9,Topic
vitamin d3,9,Topic
2019(covid-19),9,Topic
atp,9,Sports association
antithrombin,9,Protein
ascorbate,9,Food
pro,9,American actor
caffeine,9,Drug
aluminum,9,Chemical element
zinc sulphate,8,Medication
prone,8,Topic
smartphone,8,Computing platform
dexmedetomidine,8,Medication
brh,8,Bank
2019-ncov,8,Virus
gsh,8,Topic
zilucoplan,8,Company
ethyl,8,Chemical compound
rivaroxaban,8,Medication
heme,8,Topic
ambroxol,8,Drug
g-csf,8,Pharmaceutical
astragaloside iv,8,not determined
fentanyl,8,Medication
