entities,entity counts,entity label
hydroxychloroquine,1367,Medication
hcq,970,Medication
oxygen,802,Chemical element
tocilizumab,740,Drug
remdesivir,647,Medication
chloroquine,624,Medication
azithromycin,447,Medication
corticosteroids,401,Drug class
nucleic acid,368,Topic
lopinavir/ritonavir,297,not determined
corticosteroid,245,Drug class
vitamin d,228,Topic
favipiravir,213,Medication
lopinavir,204,Medication
dexamethasone,178,Medication
ritonavir,177,Medication
lactate,158,Topic
methylprednisolone,121,Drug
ivermectin,117,Medication
procalcitonin,112,Topic
anakinra,112,Drug
ribavirin,112,Medication
lpv/r,111,not determined
zinc,106,Chemical element
angiotensin ii,106,Topic
arbidol,92,Topic
alcohol,88,Chemical compound
colchicine,85,Medication
creatinine,79,Topic
melatonin,78,Hormone
steroid,72,Topic
metformin,68,Medication
oseltamivir,63,Medication
lmwh,62,Drug class
statins,60,Topic
aspartate,60,Amino acid
creatine,60,Chemical compound
ozone,58,Chemical compound
alanine,56,Amino acid
iron,53,Chemical element
umifenovir,53,Medication
retinal,52,Chemical compound
telemedicine,51,Topic
renin-angiotensin-aldosterone,49,Topic
buprenorphine,49,Topic
quercetin,46,Topic
nitric oxide,46,Medicinal
sofosbuvir,46,Medication
spo2,46,Topic
bilirubin,41,Chemical compound
opioid,41,Medication
urea,41,Chemical compound
doxycycline,40,Topic
nitazoxanide,40,Drug
ibuprofen,40,Medication
serine,39,Amino acid
calcium,38,Chemical element
famotidine,38,Medication
low molecular weight heparin,37,Drug class
darunavir,37,Medication
clozapine,37,Medication
ruxolitinib,35,Medication
curcumin,34,Chemical compound
pentoxifylline,34,Drug
methadone,34,Topic
cholesterol,34,Chemical compound
daclatasvir,33,Medication
baricitinib,32,Drug
androgen,31,Topic
azm,31,Medication
ciclesonide,31,Medication
n,31,Topic
prednisone,30,Medication
rituximab,29,Medication
glucocorticoid,29,Medicinal
polyphenols,29,Topic
ang ii,29,Topic
imatinib,29,Medication
steroidal,29,Drug class
nitrogen,29,Chemical element
fio2,28,Topic
aspirin,28,Medication
cbd,28,Drug
tacrolimus,27,Drug
quarantine,26,Topic
chloroquine phosphate,26,Chemical compound
glutathione,24,Topic
methotrexate,23,Medication
bradykinin,23,Protein
estrogen,23,Topic
adenosine,22,Medication
thiamine,22,Medication
prednisolone,21,Medication
cpz,21,Medication
kaletra,21,Medication
vitd,20,Topic
25(oh)d,20,Hormone
nucleic acids,20,Topic
lithium,20,Medication
lpv,19,Topic
leflunomide,19,Drug
glycyrrhizin,18,Topic
cyclosporine,18,Medication
cinahl,18,Topic
na+,18,Chemical element
nucleoside,18,Topic
amino acid,18,Topic
zn,17,Chemical element
sodium,17,Chemical element
atazanavir,17,Medication
lopinavir-ritonavir,17,Medication
copper,16,Chemical element
nelfinavir,16,Drug
calcifediol,16,Hormone
pge2,16,Medication
flavonoids,16,Class of chemicals
thalidomide,15,Medication
amantadine,15,Medication
ceftriaxone,15,Topic
magnesium,15,Chemical element
retinoic acid,15,Medication
fingolimod,15,Drug
ethanol,15,Chemical compound
artesunate,15,Medication
cordycepin,15,Topic
nafamostat,15,Drug
s1p,15,Topic
rapamycin,14,Drug
vitamin k,14,Topic
matrine,14,Medication
dornase alfa,14,Topic
saquinavir,14,Drug
danoprevir,14,Topic
curb-65,13,Topic
serotonin,13,Topic
alemtuzumab,13,Medication
mycophenolate mofetil,13,Drug
emetine,13,Drug
h,12,Topic
estradiol,12,Hormone
amino acids,12,Topic
tyrosine,12,Amino acid
carbon dioxide,12,Topic
methylene blue,12,Medication
aldosterone,12,Hormone
indinavir,12,Drug
potassium,12,Chemical element
hydrogen,12,Chemical element
arb,12,Topic
moxifloxacin,12,Medication
pirfenidone,12,Medication
dipyridamole,12,Medication
apixaban,12,Medication
paracetamol,11,Medication
warfarin,11,Medication
asa,11,Medication
cysteine,11,Amino acid
hesperidin,11,Topic
arginine,11,Amino acid
sitagliptin,11,Medication
testosterone,11,Hormone
l-glutamine,10,Amino acid
oxytocin,10,Hormone
atorvastatin,10,Medication
acetazolamide,10,Medication
naringenin,10,Topic
luteolin,10,Chemical compound
argatroban,10,Drug
acetaminophen,10,Medication
n-acetylcysteine,10,Medication
azt,10,Medication
egcg,10,Topic
teicoplanin,10,Topic
cannabidiol,10,Drug
niacin,10,Chemical compound
thymoquinone,10,Chemical compound
omega-3,10,Topic
ank,10,Topic
rox,10,Topic
androgens,9,Topic
naproxen,9,Drug
il6,9,Topic
gamma-glutamyl,9,Topic
cholecalciferol,9,Topic
sodium chloride,9,Chemical compound
amiodarone,9,Medication
alteplase,9,Medication
histamine,9,Chemical compound
glycyrrhizic acid,9,Drug
bromhexine,9,Drug
gam,9,Topic
vitamin d3,9,Topic
2019(covid-19),9,Topic
antithrombin,9,Protein
caffeine,9,Drug
aluminum,9,Chemical element
zinc sulphate,8,Medication
prone,8,Topic
dexmedetomidine,8,Medication
gsh,8,Topic
ethyl,8,Chemical compound
rivaroxaban,8,Medication
heme,8,Topic
ambroxol,8,Drug
g-csf,8,Pharmaceutical
astragaloside iv,8,not determined
fentanyl,8,Medication
montelukast,8,Medication
estrogens,8,Topic
bromhexine hydrochloride,8,Chemical compound
triazavirin,8,Drug
arachidonic acid,8,Topic
co2,8,Topic
dapagliflozin,8,Medication
galactomannan,8,Topic
hydrogen peroxide,8,Chemical compound
metronidazole,8,Medication
doxy,8,Topic
roflumilast,8,Drug
clz,8,Topic
triglyceride,8,Topic
hydroxychloroquine sulfate,8,Drug
meropenem,8,Medication
gcs,8,Medicinal
lpv-r,7,Medication
rifampicin,7,Topic
aliskiren,7,Drug
hydroxyzine,7,Medication
cladribine,7,Medication
cyclophosphamide,7,Medication
hcqpa,7,not determined
naloxone,7,Medication
cyclosporine a,7,Medication
thymosin α1,7,Chemical compound
edta,7,Topic
losartan,7,Medication
vitamin b12,7,Chemical compound
rbv,7,Medication
acalabrutinib,7,Medication
2-pyridone,7,Chemical compound
angiotensin (1-7),7,Topic
clopidogrel,7,Medication
norepinephrine,7,Hormone
furin,7,Protein
fluvoxamine,7,Topic
prostaglandins,7,Chemical compound
superoxide,7,Chemical compound
sulfasalazine,7,Medication
ramipril,7,Medication
azi,7,Topic
hydroxychloroquine sulphate,7,not determined
25-hydroxyvitamin d,7,Topic
cl,7,Topic
cefuroxime,7,Medication
pgs,7,Topic
celebrex,7,Drug
morphine,7,Medication
mycophenolate,7,Medication
kaempferol,7,Topic
psilocybin,7,Chemical compound
(hydroxy)chloroquine,7,not determined
epinephrine,7,Hormone
fbx,7,Topic
icosapent,7,Medication
h2 s,7,Drug class
lincocin,7,Medication
memantine,7,Medication
citrate,6,Topic
hydrocortisone,6,Medication
etanercept,6,Topic
tamoxifen,6,Medicinal
progesterone,6,Hormone
dig,6,Topic
etoposide,6,Medication
methionine,6,Chemical compound
organo-hydrogels,6,not determined
nationwide,6,Topic
levofloxacin,6,Medication
lactic acid,6,Topic
azitro,6,Medication
oleoylethanolamide,6,Topic
bid,6,Topic
pioglitazone,6,Medication
phosphate,6,Topic
troponin i,6,Topic
ace2,6,Topic
quinoline,6,Chemical compound
pao2/fio2,6,not determined
selenium,6,Chemical element
chlorine,6,Chemical element
infliximab,6,Medication
oxygen-ozone,6,Topic
spironolactone,6,Medication
cpg 1018,6,not determined
tetracycline,6,Medication
azathioprine,6,Medication
cgp-60474,6,not determined
dabk,6,Topic
paco2,6,not determined
oleandrin,6,Topic
raltegravir,6,Medication
arbidol hydrochloride,6,not determined
betamethasone,6,Medication
hcq-azm,6,not determined
ganciclovir,6,Medication
sargramostim,6,Pharmaceutical
gabexate,5,Topic
quinine,5,Medication
boron,5,Chemical element
thymosin,5,Topic
lithium carbonate,5,Medicinal
ntz,5,Drug
nafamostat mesylate,5,Drug
crocetin,5,Chemical compound
glisoxepide,5,not determined
cocaine,5,Drug
tiotropium,5,Medication
metamizole,5,Drug
tetrandrine,5,Chemical compound
narcissoside,5,not determined
noscapine,5,Topic
iodine,5,Chemical element
coumarin,5,Chemical compound
aprepitant,5,Medication
galidesivir,5,Drug
graphene,5,Topic
ticam,5,Topic
paclitaxel,5,Medication
enzalutamide,5,Medication
tenofovir,5,Drug
lactic,5,Topic
mycophenolic acid,5,Medication
theaflavin,5,Topic
bivalirudin,5,Medicinal
carbetocin,5,Medication
triglycerides,5,Topic
acps,5,Topic
choline,5,Topic
dopamine,5,Drug
s-ectodomain,5,Topic
radionuclide,5,Topic
chlorpromazine,5,Medication
fenofibrate,5,Medication
nifedipine,5,Medication
acetylsalicylic acid,5,Medication
diazepam,5,Medicinal
minocycline,5,Medication
povidone-iodine,5,Chemical compound
sodium-glucose,5,Protein
ciprofloxacin,5,Topic
amentoflavone,5,Topic
retinoic acids,5,not determined
flavonoid,5,Class of chemicals
li,5,Medication
glyasperin a,5,not determined
digoxin,5,Medication
tetrac,5,Medication
amprenavir,5,Drug
naltrexone,5,Medication
valsartan,5,Medication
alvesco,5,Medication
catecholamines,5,not determined
candesartan,5,Medication
nitrate,5,Chemical compound
dantrolene,4,Drug
simeprevir,4,Medication
triphosphate,4,Chemical compound
itraconazole,4,Medication
sildenafil,4,Medication
ca2+,4,Topic
oxypurinol,4,Medication
