entities,entity counts,entity label
lopinavir/ritonavir,297,not determined
lpv/r,111,not determined
astragaloside iv,8,not determined
hcqpa,7,not determined
hydroxychloroquine sulphate,7,not determined
(hydroxy)chloroquine,7,not determined
organo-hydrogels,6,not determined
pao2/fio2,6,not determined
cpg 1018,6,not determined
cgp-60474,6,not determined
paco2,6,not determined
arbidol hydrochloride,6,not determined
hcq-azm,6,not determined
glisoxepide,5,not determined
narcissoside,5,not determined
retinoic acids,5,not determined
glyasperin a,5,not determined
catecholamines,5,not determined
noncorticosteroid,4,not determined
anthrarufin,4,not determined
nhcq,4,not determined
o2-o3,4,not determined
abidol,4,not determined
lxa4,4,not determined
hcqs,4,not determined
sao2,4,not determined
covid+,4,not determined
clq-oh,4,not determined
n-chlorotaurine,3,not determined
salicyl-carnosine,3,not determined
18f-fluorocholine,3,not determined
plantaricin w,3,not determined
cathelicidins,3,not determined
thiopurines,3,not determined
hydroxy-chloroquine,3,not determined
plantaricin,3,not determined
remdisivir,3,not determined
dtq,3,not determined
orbcel-c,3,not determined
hydroxychloroquine-azithromycin,3,not determined
nicotiflorin,3,not determined
remdesevir,3,not determined
fe3o4,3,not determined
fe2o3,3,not determined
hydroxycholoroquine,3,not determined
tmp/smx,3,not determined
methylprednisone,3,not determined
ddcq,3,not determined
ribavarin,3,not determined
daacyl,3,not determined
covccf,3,not determined
mpro-polyphenol,3,not determined
euroguidelines,2,not determined
6vyo,2,not determined
α-ketoamide,2,not determined
p(ag-m-pmo) organo-hydrogels,2,not determined
isoliquiritin apioside,2,not determined
3clpro,2,not determined
zinc27990463,2,not determined
punigluconin,2,not determined
hydroxycloroquine,2,not determined
gse147507,2,not determined
mg2+,2,not determined
flavonoid nicotiflorin,2,not determined
zinc3939013,2,not determined
thr556,2,not determined
p(ag-g-pmo),2,not determined
arg555,2,not determined
val557,2,not determined
isrctn21363594,2,not determined
ace2-neprilysin-ca,2,not determined
nct04308668,2,not determined
sil-6r,2,not determined
pcr+,2,not determined
25ohd,2,not determined
aado2,2,not determined
anti‐androgens,2,not determined
ridogrel,2,not determined
lpv/r+ifn-α,2,not determined
lpv/r+,2,not determined
desethylchloroquine,2,not determined
hydroxicloroquine,2,not determined
crd42020178076,2,not determined
rhace2,2,not determined
polyphenolic,2,not determined
adamantanes,2,not determined
khainaoside c,2,not determined
asiaticoside,2,not determined
his164,2,not determined
"quinoline,1,2,3,4-tetrahydro-1-[(2-phenylcyclopropyl)sulfonyl]-trans-(8ci)",2,not determined
covirl002,2,not determined
piperacillin/tazobactam,2,not determined
socalone,2,not determined
diterpenoids,2,not determined
ginkgetin,2,not determined
bilobetin,2,not determined
vomigone,2,not determined
glu166,2,not determined
arg319 - phe541,2,not determined
citkovitz,2,not determined
mataquine,2,not determined
hydrochloroquine,2,not determined
leucomethylene blue,2,not determined
zinc-ionophores,2,not determined
n-(4-tert-butylphenyl)-n-[(1r)-2-(cyclohexylamino)-2-oxo-1-(pyridin-3-yl)ethyl]-1h-imidazole-4-carboxamide,2,not determined
flavanoid narcissoside,2,not determined
eidd-2801,2,not determined
lianhuaqingwen,2,not determined
coronavirus spike protein,2,not determined
prednis(ol)one,2,not determined
pre-tocilizumab,2,not determined
deepa hc,2,not determined
hcq-azi,2,not determined
hads-a,2,not determined
theaflavins,2,not determined
diammonium glycyrrhizinate,2,not determined
bioflavonoids,2,not determined
ampicillin/sulbactam,2,not determined
methyl-prednisolone,2,not determined
ammonium glycyrrhizinate,2,not determined
thymohydroquinone,2,not determined
dithymoquinone,2,not determined
mol010428,2,not determined
mol004798,2,not determined
mol000554,2,not determined
mol004824,2,not determined
hclq,2,not determined
